id_credito,id_cliente,id_convenio,fecha_apertura,monto,tasa,estatus
CRED0116,CLI0138,CONV0050,2025-09-17,126863,17.23,Liquidado
CRED0117,CLI0069,CONV0021,2024-05-17,222771,23.22,Activo
CRED0118,CLI0116,CONV0016,2025-08-09,154382,19.32,Activo
CRED0119,CLI0008,CONV0032,2024-10-27,52668,25.85,Activo
CRED0120,CLI0067,CONV0022,2024-07-26,235770,19.15,Vencido
CRED0121,CLI0143,CONV0001,2025-11-24,55084,21.03,Liquidado
CRED0122,CLI0126,CONV0036,2024-05-07,186039,17.71,Liquidado
CRED0123,CLI0115,CONV0002,2023-07-10,82132,14.66,Liquidado
CRED0124,CLI0079,CONV0043,2025-01-25,129062,18.64,Activo
CRED0125,CLI0141,CONV0022,2024-12-21,189249,17.44,Activo
CRED0126,CLI0060,CONV0008,2024-01-30,87719,13.43,Activo
CRED0127,CLI0048,CONV0013,2024-03-19,198620,17.81,Liquidado
CRED0128,CLI0135,CONV0039,2024-08-02,31352,29.99,Activo
CRED0129,CLI0093,CONV0012,2024-09-11,8708,40.04,Activo
CRED0130,CLI0012,CONV0004,2024-08-21,187823,23.33,Liquidado
CRED0131,CLI0126,CONV0007,2023-01-26,155487,15.41,Activo
CRED0132,CLI0088,CONV0012,2023-04-16,71185,31.29,Liquidado
CRED0133,CLI0017,CONV0026,2025-10-04,24420,26.92,Liquidado
CRED0134,CLI0039,CONV0010,2024-09-14,27329,31.93,Activo
CRED0135,CLI0107,CONV0039,2024-04-07,208343,18.27,Activo
CRED0136,CLI0114,CONV0020,2025-05-28,85053,18.82,Activo
CRED0137,CLI0026,CONV0049,2024-03-01,168975,14.53,Liquidado
CRED0138,CLI0041,CONV0016,2023-12-22,149701,12.9,Activo
CRED0139,CLI0116,CONV0045,2025-08-20,81351,12.39,Activo
CRED0140,CLI0073,CONV0045,2025-07-18,23659,28.25,Vencido
CRED0141,CLI0051,CONV0028,2023-08-24,147753,14.7,Activo
CRED0142,CLI0069,CONV0010,2023-05-27,20633,21.99,Activo
CRED0143,CLI0146,CONV0019,2025-06-18,37598,25.62,Activo
CRED0144,CLI0104,CONV0018,2025-10-21,146552,17.93,Activo
CRED0145,CLI0011,CONV0028,2024-10-22,163259,15.0,Activo
CRED0146,CLI0148,CONV0038,2023-02-12,205477,20.07,Activo
CRED0147,CLI0011,CONV0049,2023-12-25,128338,18.23,Activo
CRED0148,CLI0072,CONV0012,2025-06-11,171405,21.77,Cancelado
CRED0149,CLI0121,CONV0023,2025-04-16,92374,15.85,Activo
CRED0150,CLI0042,CONV0022,2025-04-23,186842,17.95,Liquidado
CRED0151,CLI0103,CONV0049,2023-03-17,124229,13.06,Activo
CRED0152,CLI0030,CONV0050,2025-04-07,231731,18.18,Cancelado
CRED0153,CLI0139,CONV0030,2025-04-26,19209,31.19,Liquidado
CRED0154,CLI0128,CONV0041,2025-06-24,204226,12.62,Activo
CRED0155,CLI0034,CONV0019,2025-06-16,235908,20.38,Activo
CRED0156,CLI0062,CONV0046,2023-11-21,86461,18.61,Liquidado
CRED0157,CLI0024,CONV0015,2023-08-21,125965,23.36,Liquidado
CRED0158,CLI0040,CONV0032,2024-08-20,138397,20.46,Activo
CRED0159,CLI0124,CONV0031,2024-05-14,124743,18.62,Activo
CRED0160,CLI0131,CONV0048,2023-10-07,231499,12.84,Liquidado
CRED0161,CLI0107,CONV0022,2025-11-05,75037,29.85,Activo
CRED0162,CLI0077,CONV0038,2025-09-29,231822,13.78,Activo
CRED0163,CLI0089,CONV0022,2025-02-11,124365,23.19,Vencido
CRED0164,CLI0062,CONV0037,2025-02-23,66226,30.27,Liquidado
CRED0165,CLI0082,CONV0048,2025-08-26,189871,22.96,Activo
CRED0166,CLI0039,CONV0032,2023-03-17,38094,26.03,Liquidado
CRED0167,CLI0026,CONV0029,2023-07-24,142874,22.93,Activo
CRED0168,CLI0037,CONV0027,2023-11-13,24615,25.63,Cancelado
CRED0169,CLI0087,CONV0040,2025-03-25,175350,12.96,Activo
CRED0170,CLI0137,CONV0025,2024-10-10,169311,20.62,Liquidado
CRED0171,CLI0139,CONV0003,2023-05-21,66543,27.57,Vencido
CRED0172,CLI0059,CONV0048,2023-07-05,118763,23.74,Liquidado
CRED0173,CLI0026,CONV0029,2023-12-07,186928,15.59,Activo
CRED0174,CLI0084,CONV0004,2024-08-23,98969,16.5,Activo
CRED0175,CLI0136,CONV0027,2024-01-04,49560,22.1,Liquidado
CRED0176,CLI0098,CONV0040,2024-05-08,135460,22.95,Activo
CRED0177,CLI0119,CONV0041,2024-06-04,125473,15.06,Activo
CRED0178,CLI0120,CONV0019,2023-11-20,24362,25.3,Activo
CRED0179,CLI0077,CONV0041,2025-05-18,185961,15.0,Liquidado
CRED0180,CLI0051,CONV0025,2025-09-16,32958,22.85,Liquidado
CRED0181,CLI0148,CONV0019,2024-08-27,10751,44.63,Vencido
CRED0182,CLI0071,CONV0001,2023-04-11,243712,19.28,Activo
CRED0183,CLI0074,CONV0050,2024-04-16,164138,21.62,Activo
CRED0184,CLI0049,CONV0040,2024-05-28,182671,21.07,Liquidado
CRED0185,CLI0036,CONV0041,2023-07-18,241821,19.53,Activo
CRED0186,CLI0113,CONV0003,2025-01-17,196983,13.58,Vencido
CRED0187,CLI0084,CONV0048,2025-04-30,51042,22.41,Liquidado
CRED0188,CLI0094,CONV0034,2025-10-24,244465,15.27,Activo
CRED0189,CLI0124,CONV0019,2024-11-24,215824,13.38,Cancelado
CRED0190,CLI0037,CONV0049,2024-04-07,230480,20.12,Liquidado
CRED0191,CLI0102,CONV0036,2025-01-19,28672,29.49,Activo
CRED0192,CLI0138,CONV0008,2025-07-20,101622,20.07,Liquidado
CRED0193,CLI0150,CONV0025,2025-01-30,33402,28.1,Activo
CRED0194,CLI0144,CONV0021,2024-03-29,174778,12.76,Liquidado
CRED0195,CLI0078,CONV0042,2025-04-16,35585,21.68,Cancelado
CRED0196,CLI0078,CONV0032,2023-08-26,30478,22.82,Activo
CRED0197,CLI0100,CONV0030,2025-01-29,180763,23.39,Liquidado
CRED0198,CLI0139,CONV0027,2023-11-13,237105,16.98,Activo
CRED0199,CLI0126,CONV0040,2025-04-15,78332,20.39,Activo
CRED0200,CLI0114,CONV0029,2024-04-28,229251,16.35,Cancelado
CRED0201,CLI0095,CONV0035,2025-01-04,20872,24.78,Activo
CRED0202,CLI0032,CONV0030,2023-07-07,178740,14.55,Liquidado
CRED0203,CLI0006,CONV0004,2024-11-14,68850,31.87,Vencido
CRED0204,CLI0053,CONV0005,2024-02-29,158716,14.59,Vencido
CRED0205,CLI0085,CONV0050,2023-10-30,211738,22.81,Activo
CRED0206,CLI0038,CONV0009,2024-05-28,214325,14.09,Liquidado
CRED0207,CLI0007,CONV0009,2023-01-31,98911,21.48,Activo
CRED0208,CLI0083,CONV0002,2023-12-23,74564,20.63,Liquidado
CRED0209,CLI0135,CONV0008,2023-05-11,129845,17.38,Activo
CRED0210,CLI0028,CONV0029,2025-10-28,63077,31.34,Activo
CRED0211,CLI0134,CONV0020,2025-07-27,173647,23.57,Activo
CRED0212,CLI0123,CONV0026,2025-05-23,184856,13.3,Liquidado
CRED0213,CLI0114,CONV0005,2023-06-15,89439,19.3,Activo
CRED0214,CLI0071,CONV0040,2024-10-27,104851,23.94,Activo
CRED0215,CLI0117,CONV0033,2025-05-31,30999,29.52,Activo
CRED0216,CLI0142,CONV0047,2024-03-16,117740,17.42,Activo
CRED0217,CLI0087,CONV0030,2025-03-27,114049,20.76,Activo
CRED0218,CLI0081,CONV0043,2024-06-06,103120,23.44,Liquidado
CRED0219,CLI0122,CONV0005,2023-07-06,223044,13.02,Activo
CRED0220,CLI0096,CONV0009,2023-05-03,158738,23.48,Liquidado
CRED0221,CLI0032,CONV0027,2024-12-25,234010,19.98,Liquidado
CRED0222,CLI0014,CONV0019,2024-10-01,97181,13.24,Activo
CRED0223,CLI0040,CONV0043,2025-09-14,63784,30.17,Liquidado
CRED0224,CLI0143,CONV0024,2023-08-24,204912,15.34,Activo
CRED0225,CLI0110,CONV0036,2023-02-23,164644,23.15,Liquidado
CRED0226,CLI0069,CONV0002,2024-01-05,76636,28.43,Activo
CRED0227,CLI0087,CONV0023,2023-01-13,52554,30.44,Vencido
CRED0228,CLI0103,CONV0005,2023-10-18,199240,19.6,Activo
CRED0229,CLI0136,CONV0014,2025-02-09,115056,17.44,Activo
CRED0230,CLI0080,CONV0047,2024-10-26,208642,23.3,Liquidado
CRED0231,CLI0014,CONV0010,2023-11-19,202770,19.41,Liquidado
CRED0232,CLI0070,CONV0029,2025-05-18,132313,19.28,Activo
CRED0233,CLI0056,CONV0049,2025-11-15,34836,24.14,Activo
CRED0234,CLI0125,CONV0034,2024-09-23,16905,31.75,Cancelado
CRED0235,CLI0015,CONV0001,2024-02-23,84015,23.34,Liquidado
CRED0236,CLI0066,CONV0019,2024-11-02,36453,20.09,Liquidado
CRED0237,CLI0045,CONV0009,2025-02-17,144613,20.44,Activo
CRED0238,CLI0091,CONV0005,2025-03-24,230906,20.9,Activo
CRED0239,CLI0118,CONV0005,2024-10-03,155931,17.15,Activo
CRED0240,CLI0107,CONV0019,2023-08-24,111176,12.25,Activo
CRED0241,CLI0118,CONV0045,2025-01-11,28102,25.24,Activo
CRED0242,CLI0112,CONV0038,2025-03-31,142353,12.94,Vencido
CRED0243,CLI0087,CONV0015,2024-11-13,209241,14.02,Activo
CRED0244,CLI0030,CONV0034,2025-11-10,55830,30.87,Activo
CRED0245,CLI0038,CONV0016,2023-07-30,43389,23.07,Activo
CRED0246,CLI0040,CONV0049,2023-06-04,51437,31.42,Vencido
CRED0247,CLI0119,CONV0049,2025-07-08,183555,23.09,Liquidado
CRED0248,CLI0083,CONV0041,2024-10-09,44572,25.28,Activo
CRED0249,CLI0078,CONV0018,2023-04-26,97259,18.09,Activo
CRED0250,CLI0116,CONV0003,2023-04-27,101662,21.98,Activo
CRED0251,CLI0024,CONV0040,2025-11-04,105789,17.55,Liquidado
CRED0252,CLI0011,CONV0029,2024-01-21,89286,19.26,Activo
CRED0253,CLI0016,CONV0029,2023-07-31,217590,22.79,Activo
CRED0254,CLI0022,CONV0033,2023-12-20,15260,32.21,Liquidado
CRED0255,CLI0113,CONV0034,2025-12-06,164856,13.9,Activo
CRED0256,CLI0073,CONV0025,2025-04-17,208021,16.06,Liquidado
CRED0257,CLI0086,CONV0005,2024-11-06,29774,26.7,Activo
CRED0258,CLI0065,CONV0047,2023-11-04,92388,12.98,Liquidado
CRED0259,CLI0090,CONV0020,2025-03-13,38803,27.14,Cancelado
CRED0260,CLI0080,CONV0036,2025-02-10,173687,21.5,Liquidado
CRED0261,CLI0135,CONV0006,2025-05-17,138297,16.34,Activo
CRED0262,CLI0047,CONV0014,2024-11-30,205843,17.84,Activo
CRED0263,CLI0036,CONV0010,2023-06-08,82540,22.13,Activo
CRED0264,CLI0139,CONV0048,2025-12-14,14895,39.25,Cancelado
CRED0265,CLI0034,CONV0039,2025-02-10,45436,21.95,Liquidado
CRED0266,CLI0043,CONV0047,2025-06-15,16453,34.98,Vencido
CRED0267,CLI0061,CONV0029,2024-08-06,202234,20.98,Activo
CRED0268,CLI0137,CONV0016,2024-09-25,216975,21.41,Vencido
CRED0269,CLI0050,CONV0024,2025-06-21,126026,21.23,Liquidado
CRED0270,CLI0129,CONV0034,2025-05-07,47482,29.8,Liquidado
CRED0271,CLI0036,CONV0017,2023-04-17,173081,17.77,Activo
CRED0272,CLI0027,CONV0046,2025-11-22,228128,13.5,Activo
CRED0273,CLI0042,CONV0018,2025-07-09,242320,18.16,Liquidado
CRED0274,CLI0024,CONV0015,2025-07-12,236900,16.2,Activo
CRED0275,CLI0014,CONV0026,2025-10-25,103031,14.83,Cancelado
CRED0276,CLI0096,CONV0015,2023-02-27,88541,23.17,Liquidado
CRED0277,CLI0086,CONV0010,2023-10-09,15040,32.88,Vencido
CRED0278,CLI0036,CONV0049,2025-08-18,122598,19.38,Vencido
CRED0279,CLI0005,CONV0017,2024-03-17,223880,13.79,Cancelado
CRED0280,CLI0136,CONV0028,2023-08-16,208468,15.46,Activo
CRED0281,CLI0013,CONV0016,2025-05-09,172497,21.53,Activo
CRED0282,CLI0029,CONV0032,2023-02-03,170663,18.18,Activo
CRED0283,CLI0037,CONV0019,2025-05-29,5410,38.45,Activo
CRED0284,CLI0107,CONV0012,2023-06-25,142228,23.7,Activo
CRED0285,CLI0135,CONV0035,2025-11-05,211153,23.86,Liquidado
CRED0286,CLI0100,CONV0031,2023-03-31,171637,16.64,Activo
CRED0287,CLI0005,CONV0023,2023-05-19,95387,14.89,Liquidado
CRED0288,CLI0027,CONV0050,2024-11-11,39972,20.53,Activo
CRED0289,CLI0045,CONV0050,2025-08-09,187292,17.74,Activo
CRED0290,CLI0035,CONV0005,2025-07-26,14695,32.99,Activo
CRED0291,CLI0052,CONV0003,2024-10-08,249677,15.72,Activo
CRED0292,CLI0140,CONV0031,2024-06-02,14599,40.81,Activo
CRED0293,CLI0092,CONV0050,2023-04-08,231963,19.87,Activo
CRED0294,CLI0095,CONV0028,2025-03-30,199853,17.28,Cancelado
CRED0295,CLI0087,CONV0012,2025-10-13,186421,17.97,Vencido
CRED0296,CLI0133,CONV0018,2023-06-19,195600,17.09,Activo
CRED0297,CLI0047,CONV0035,2024-08-24,89203,13.23,Activo
CRED0298,CLI0076,CONV0020,2025-07-02,162973,20.61,Activo
CRED0299,CLI0114,CONV0023,2025-07-04,16103,40.36,Cancelado
CRED0300,CLI0112,CONV0018,2023-04-28,24671,28.05,Activo
CRED0301,CLI0132,CONV0048,2023-11-24,13163,30.43,Vencido
CRED0302,CLI0113,CONV0003,2023-09-16,22624,22.83,Liquidado
CRED0303,CLI0093,CONV0025,2023-03-08,163621,13.84,Activo
CRED0304,CLI0095,CONV0024,2025-06-28,205038,12.92,Activo
CRED0305,CLI0094,CONV0026,2024-10-05,175278,15.34,Cancelado
CRED0306,CLI0007,CONV0048,2024-01-17,135821,18.21,Vencido
CRED0307,CLI0031,CONV0017,2024-06-17,189559,17.36,Cancelado
CRED0308,CLI0074,CONV0045,2025-10-02,57475,21.47,Vencido
CRED0309,CLI0116,CONV0012,2025-06-30,28013,29.73,Cancelado
CRED0310,CLI0082,CONV0043,2024-12-12,191001,12.78,Activo
CRED0311,CLI0077,CONV0011,2023-12-23,213062,16.34,Activo
CRED0312,CLI0052,CONV0009,2024-04-29,212191,17.93,Activo
CRED0313,CLI0147,CONV0024,2025-08-15,215675,23.8,Activo
CRED0314,CLI0023,CONV0005,2024-09-25,109375,24.0,Liquidado
CRED0315,CLI0135,CONV0027,2025-04-18,220833,18.9,Activo
CRED0316,CLI0082,CONV0042,2023-06-01,122958,17.59,Activo
CRED0317,CLI0033,CONV0050,2024-01-08,206269,23.6,Activo
CRED0318,CLI0015,CONV0008,2025-11-27,45112,23.65,Activo
CRED0319,CLI0058,CONV0023,2025-11-28,239599,15.41,Activo
CRED0320,CLI0051,CONV0041,2024-07-16,37812,27.5,Liquidado
CRED0321,CLI0024,CONV0033,2023-12-12,160139,23.3,Activo
CRED0322,CLI0087,CONV0037,2023-03-26,221330,22.37,Activo
CRED0323,CLI0148,CONV0017,2024-03-07,206053,18.87,Liquidado
CRED0324,CLI0008,CONV0032,2024-08-16,173272,23.48,Activo
CRED0325,CLI0104,CONV0020,2025-07-17,24129,28.26,Activo
CRED0326,CLI0107,CONV0031,2025-08-09,58483,24.08,Activo
CRED0327,CLI0082,CONV0047,2024-12-08,109521,13.57,Activo
CRED0328,CLI0144,CONV0007,2024-10-15,68370,25.6,Activo
CRED0329,CLI0064,CONV0010,2023-07-18,18265,32.93,Liquidado
CRED0330,CLI0108,CONV0016,2023-11-24,218248,15.93,Liquidado
CRED0331,CLI0081,CONV0013,2023-11-23,135617,23.95,Activo
CRED0332,CLI0079,CONV0032,2023-02-17,28605,31.34,Liquidado
CRED0333,CLI0062,CONV0014,2024-12-23,17755,28.86,Activo
CRED0334,CLI0121,CONV0019,2023-01-17,227081,13.29,Activo
CRED0335,CLI0068,CONV0047,2025-01-19,205240,16.84,Activo
CRED0336,CLI0014,CONV0037,2024-02-03,100033,18.64,Activo
CRED0337,CLI0130,CONV0029,2024-07-26,221350,23.87,Liquidado
CRED0338,CLI0031,CONV0009,2023-07-18,108259,16.48,Cancelado
CRED0339,CLI0143,CONV0024,2023-10-23,57181,27.23,Activo
CRED0340,CLI0011,CONV0003,2023-03-21,40923,28.56,Liquidado
CRED0341,CLI0133,CONV0030,2023-11-02,163927,22.72,Activo
CRED0342,CLI0082,CONV0011,2025-03-15,166611,20.87,Activo
CRED0343,CLI0087,CONV0033,2025-11-09,144549,17.88,Liquidado
CRED0344,CLI0122,CONV0002,2025-01-24,91832,20.09,Cancelado
CRED0345,CLI0150,CONV0020,2023-02-24,161476,17.7,Cancelado
CRED0346,CLI0149,CONV0037,2024-04-11,194110,12.62,Activo
CRED0347,CLI0135,CONV0041,2025-02-17,43738,29.86,Activo
CRED0348,CLI0147,CONV0045,2023-08-14,55012,20.23,Activo
CRED0349,CLI0039,CONV0027,2024-02-22,112577,18.02,Liquidado
CRED0350,CLI0121,CONV0048,2023-05-08,190014,13.66,Activo
CRED0351,CLI0084,CONV0043,2025-09-06,142750,16.52,Cancelado
CRED0352,CLI0118,CONV0035,2024-12-02,148202,16.25,Liquidado
CRED0353,CLI0068,CONV0040,2025-09-18,55400,31.49,Activo
CRED0354,CLI0077,CONV0015,2024-09-01,207158,15.47,Activo
CRED0355,CLI0126,CONV0021,2025-09-09,96436,18.73,Cancelado
CRED0356,CLI0071,CONV0019,2023-09-07,155333,20.12,Activo
CRED0357,CLI0102,CONV0023,2023-10-27,81140,12.5,Cancelado
CRED0358,CLI0021,CONV0023,2025-06-24,176959,15.08,Activo
CRED0359,CLI0052,CONV0035,2024-07-09,249586,18.74,Activo
CRED0360,CLI0028,CONV0040,2024-05-05,68558,20.61,Vencido
CRED0361,CLI0058,CONV0041,2024-04-21,18760,29.7,Activo
CRED0362,CLI0121,CONV0007,2023-10-09,6358,44.4,Cancelado
CRED0363,CLI0041,CONV0027,2025-09-01,130160,19.81,Liquidado
CRED0364,CLI0074,CONV0021,2024-08-07,174318,12.71,Liquidado
CRED0365,CLI0147,CONV0015,2025-12-31,198642,20.68,Cancelado
CRED0366,CLI0045,CONV0027,2023-12-27,249822,23.04,Cancelado
CRED0367,CLI0102,CONV0032,2024-01-17,201346,23.55,Vencido
CRED0368,CLI0010,CONV0001,2024-09-03,153887,19.23,Vencido
CRED0369,CLI0086,CONV0019,2025-07-19,173116,18.52,Activo
CRED0370,CLI0035,CONV0033,2025-08-16,76522,22.31,Activo
CRED0371,CLI0042,CONV0047,2025-07-28,174944,15.09,Activo
CRED0372,CLI0087,CONV0019,2024-01-31,51004,27.33,Liquidado
CRED0373,CLI0104,CONV0028,2025-11-21,90964,13.04,Liquidado
CRED0374,CLI0048,CONV0009,2025-09-04,89830,23.23,Activo
CRED0375,CLI0099,CONV0016,2025-07-03,202592,15.2,Activo
CRED0376,CLI0150,CONV0047,2023-01-24,73564,27.84,Liquidado
CRED0377,CLI0016,CONV0043,2023-08-31,127000,15.68,Activo
CRED0378,CLI0129,CONV0046,2024-09-28,185955,13.41,Vencido
