id_pago,id_credito,fecha_pago,monto_pago
PAGO000046,CRED0005,2025-12-17,1967.52
PAGO000047,CRED0006,2023-12-23,25357.98
PAGO000048,CRED0006,2024-01-19,24966.51
PAGO000049,CRED0006,2024-02-27,26477.7
PAGO000050,CRED0006,2024-03-23,28060.32
PAGO000051,CRED0006,2024-04-20,26002.0
PAGO000052,CRED0007,2024-12-20,1377.0
PAGO000053,CRED0007,2025-01-28,1132.95
PAGO000054,CRED0007,2025-03-02,1680.78
PAGO000055,CRED0007,2025-04-01,1418.24
PAGO000056,CRED0007,2025-04-29,1623.45
PAGO000057,CRED0007,2025-06-02,1607.13
PAGO000058,CRED0007,2025-07-03,1217.56
PAGO000059,CRED0007,2025-08-02,1254.08
PAGO000060,CRED0008,2024-07-25,6736.86
PAGO000061,CRED0008,2024-08-30,9603.25
PAGO000062,CRED0008,2024-10-03,7470.68
PAGO000063,CRED0008,2024-11-04,9600.87
PAGO000064,CRED0008,2024-12-01,6957.62
PAGO000065,CRED0008,2025-01-10,9394.09
PAGO000066,CRED0008,2025-02-08,7100.19
PAGO000067,CRED0008,2025-03-20,9830.51
PAGO000068,CRED0008,2025-04-19,7556.1
PAGO000069,CRED0008,2025-05-27,9888.94
PAGO000070,CRED0008,2025-06-27,9050.24
PAGO000071,CRED0008,2025-08-03,6888.9
PAGO000072,CRED0009,2025-03-16,3521.17
PAGO000073,CRED0009,2025-04-17,3195.42
PAGO000074,CRED0009,2025-05-22,2902.89
PAGO000075,CRED0009,2025-06-23,4743.92
PAGO000076,CRED0010,2025-02-09,18401.78
PAGO000077,CRED0010,2025-03-13,14459.27
PAGO000078,CRED0010,2025-04-08,19593.5
PAGO000079,CRED0011,2024-05-11,26357.44
PAGO000080,CRED0011,2024-06-20,25614.3
PAGO000081,CRED0011,2024-07-19,31503.75
PAGO000082,CRED0011,2024-08-28,32204.55
PAGO000083,CRED0012,2023-08-25,4500.35
PAGO000084,CRED0012,2023-09-22,5463.06
PAGO000085,CRED0012,2023-10-28,4979.41
PAGO000086,CRED0012,2023-12-06,5883.95
PAGO000087,CRED0012,2024-01-01,5492.61
PAGO000088,CRED0012,2024-01-29,4233.67
PAGO000089,CRED0012,2024-03-04,5754.01
PAGO000090,CRED0012,2024-04-01,4620.02
PAGO000091,CRED0012,2024-05-02,5210.97
PAGO000092,CRED0012,2024-05-31,4975.92
PAGO000093,CRED0012,2024-07-03,5059.64
PAGO000094,CRED0012,2024-07-30,5019.58
PAGO000095,CRED0012,2024-08-27,4213.07
PAGO000096,CRED0012,2024-09-21,6100.01
PAGO000097,CRED0012,2024-10-23,4450.84
PAGO000098,CRED0012,2024-12-02,5098.12
PAGO000099,CRED0012,2025-01-08,5963.27
PAGO000100,CRED0012,2025-02-07,4887.76
PAGO000101,CRED0012,2025-03-16,4654.02
PAGO000102,CRED0012,2025-04-24,4695.2
PAGO000103,CRED0012,2025-06-03,6609.38
PAGO000104,CRED0013,2023-12-30,9892.29
PAGO000105,CRED0013,2024-01-25,9156.77
PAGO000106,CRED0013,2024-02-20,6831.46
PAGO000107,CRED0013,2024-03-31,8339.97
PAGO000108,CRED0013,2024-04-30,6853.91
PAGO000109,CRED0013,2024-05-27,9501.21
PAGO000110,CRED0013,2024-06-23,8647.14
PAGO000111,CRED0013,2024-07-25,8009.83
PAGO000112,CRED0013,2024-08-26,8593.44
PAGO000113,CRED0013,2024-09-21,8728.27
PAGO000114,CRED0013,2024-10-29,8854.86
PAGO000115,CRED0013,2024-12-03,6556.46
PAGO000116,CRED0014,2023-06-26,12918.94
PAGO000117,CRED0014,2023-07-29,13374.48
PAGO000118,CRED0014,2023-09-01,13717.46
PAGO000119,CRED0014,2023-09-28,11217.01
PAGO000120,CRED0014,2023-10-26,11573.98
PAGO000121,CRED0014,2023-11-26,13989.11
PAGO000122,CRED0014,2023-12-25,16374.93
PAGO000123,CRED0014,2024-01-21,16073.53
PAGO000124,CRED0014,2024-02-26,12755.95
PAGO000125,CRED0014,2024-04-05,15819.39
PAGO000126,CRED0014,2024-05-09,14579.7
PAGO000127,CRED0014,2024-06-03,15080.57
PAGO000128,CRED0015,2023-12-31,2257.09
PAGO000129,CRED0015,2024-02-02,1664.01
PAGO000130,CRED0016,2024-04-24,91673.95
PAGO000131,CRED0017,2024-05-14,12276.29
PAGO000132,CRED0017,2024-06-18,12237.24
PAGO000133,CRED0017,2024-07-21,13913.29
PAGO000134,CRED0017,2024-08-23,16134.21
PAGO000135,CRED0017,2024-09-18,11619.16
PAGO000136,CRED0017,2024-10-26,15712.22
PAGO000137,CRED0017,2024-11-21,15290.36
PAGO000138,CRED0018,2023-06-15,4083.7
PAGO000139,CRED0018,2023-07-18,3347.32
PAGO000140,CRED0018,2023-08-26,3951.41
PAGO000141,CRED0018,2023-10-03,3965.69
PAGO000142,CRED0018,2023-10-31,3213.62
PAGO000143,CRED0018,2023-11-29,3941.98
PAGO000144,CRED0018,2024-01-04,3999.15
PAGO000145,CRED0018,2024-02-02,3762.65
PAGO000146,CRED0018,2024-02-28,3574.46
PAGO000147,CRED0018,2024-03-25,4489.13
PAGO000148,CRED0018,2024-04-25,4153.32
PAGO000149,CRED0018,2024-05-23,3644.79
PAGO000150,CRED0018,2024-06-30,4605.14
PAGO000151,CRED0018,2024-07-29,4530.69
PAGO000152,CRED0018,2024-08-30,4435.99
PAGO000153,CRED0018,2024-09-29,2243.0
PAGO000154,CRED0019,2024-04-10,48049.55
PAGO000155,CRED0020,2025-08-27,3788.69
PAGO000156,CRED0020,2025-09-28,2998.62
PAGO000157,CRED0020,2025-10-26,3151.72
PAGO000158,CRED0020,2025-11-21,3781.45
PAGO000159,CRED0020,2025-12-23,2909.68
PAGO000160,CRED0020,2026-01-31,3108.22
PAGO000161,CRED0020,2026-03-04,2940.57
PAGO000162,CRED0020,2026-04-04,3172.78
PAGO000163,CRED0020,2026-05-07,3912.11
PAGO000164,CRED0021,2024-07-22,22876.6
PAGO000165,CRED0021,2024-08-26,26795.09
PAGO000166,CRED0021,2024-09-23,18700.88
PAGO000167,CRED0022,2025-02-10,8804.89
PAGO000168,CRED0022,2025-03-08,6222.2
PAGO000169,CRED0022,2025-04-15,6922.46
PAGO000170,CRED0022,2025-05-20,7190.15
PAGO000171,CRED0022,2025-06-17,7749.6
PAGO000172,CRED0023,2023-08-05,5468.16
PAGO000173,CRED0023,2023-09-12,5353.96
PAGO000174,CRED0023,2023-10-13,6323.63
PAGO000175,CRED0023,2023-11-09,7887.41
PAGO000176,CRED0023,2023-12-14,7016.2
PAGO000177,CRED0023,2024-01-11,7274.58
PAGO000178,CRED0023,2024-02-14,6705.85
PAGO000179,CRED0023,2024-03-23,6221.89
PAGO000180,CRED0023,2024-04-26,6832.34
PAGO000181,CRED0023,2024-05-27,6474.02
PAGO000182,CRED0023,2024-07-03,7161.07
PAGO000183,CRED0023,2024-08-02,7522.48
PAGO000184,CRED0024,2023-12-24,9497.81
PAGO000185,CRED0024,2024-01-27,10493.82
PAGO000186,CRED0024,2024-03-02,11703.62
PAGO000187,CRED0024,2024-04-10,12703.72
PAGO000188,CRED0024,2024-05-20,13264.49
PAGO000189,CRED0024,2024-06-19,12624.07
PAGO000190,CRED0024,2024-07-23,11943.22
PAGO000191,CRED0024,2024-08-27,9939.28
PAGO000192,CRED0024,2024-09-28,12690.28
PAGO000193,CRED0024,2024-10-30,13325.39
PAGO000194,CRED0024,2024-11-28,9611.85
PAGO000195,CRED0024,2024-12-30,14167.55
PAGO000196,CRED0024,2025-01-26,11658.17
PAGO000197,CRED0024,2025-02-26,12906.54
PAGO000198,CRED0024,2025-04-04,11843.15
PAGO000199,CRED0024,2025-05-06,10196.54
PAGO000200,CRED0024,2025-05-31,13734.18
PAGO000201,CRED0024,2025-06-28,11353.65
PAGO000202,CRED0025,2025-03-22,14196.69
PAGO000203,CRED0025,2025-04-30,9839.98
PAGO000204,CRED0025,2025-06-01,14002.33
PAGO000205,CRED0025,2025-06-29,11789.73
PAGO000206,CRED0025,2025-08-07,12802.98
PAGO000207,CRED0025,2025-09-11,14158.65
PAGO000208,CRED0025,2025-10-20,12539.37
PAGO000209,CRED0025,2025-11-27,13585.25
PAGO000210,CRED0025,2026-01-05,13905.09
PAGO000211,CRED0025,2026-02-14,11759.06
PAGO000212,CRED0025,2026-03-18,13629.86
PAGO000213,CRED0025,2026-04-20,13274.46
PAGO000214,CRED0025,2026-05-30,499.58
PAGO000215,CRED0026,2023-02-23,14128.24
PAGO000216,CRED0026,2023-03-27,11827.83
PAGO000217,CRED0026,2023-05-01,15062.72
PAGO000218,CRED0026,2023-05-28,11133.58
PAGO000219,CRED0026,2023-06-29,12407.42
PAGO000220,CRED0026,2023-07-28,14091.14
PAGO000221,CRED0026,2023-08-24,12573.16
PAGO000222,CRED0026,2023-09-28,13238.26
PAGO000223,CRED0026,2023-11-05,10737.31
PAGO000224,CRED0026,2023-12-13,12440.96
PAGO000225,CRED0026,2024-01-07,14873.75
PAGO000226,CRED0026,2024-02-13,12896.55
PAGO000227,CRED0026,2024-03-20,11967.87
PAGO000228,CRED0026,2024-04-26,14850.88
PAGO000229,CRED0027,2024-07-30,12880.61
PAGO000230,CRED0027,2024-08-31,12587.69
PAGO000231,CRED0027,2024-10-03,12322.63
PAGO000232,CRED0027,2024-10-28,12084.97
PAGO000233,CRED0027,2024-12-04,13781.34
PAGO000234,CRED0027,2025-01-12,14769.65
PAGO000235,CRED0027,2025-02-06,14705.84
PAGO000236,CRED0027,2025-03-03,10542.47
PAGO000237,CRED0027,2025-04-10,10804.27
PAGO000238,CRED0027,2025-05-19,11037.13
PAGO000239,CRED0027,2025-06-21,13602.94
PAGO000240,CRED0028,2023-12-20,7001.85
PAGO000241,CRED0028,2024-01-26,6855.63
PAGO000242,CRED0028,2024-03-04,6777.44
PAGO000243,CRED0028,2024-03-31,7433.54
PAGO000244,CRED0028,2024-04-26,9027.2
PAGO000245,CRED0028,2024-06-01,6693.04
PAGO000246,CRED0028,2024-06-28,8369.17
PAGO000247,CRED0028,2024-07-24,8287.92
PAGO000248,CRED0028,2024-08-25,6618.22
PAGO000249,CRED0028,2024-09-19,7888.01
PAGO000250,CRED0028,2024-10-21,6398.13
PAGO000251,CRED0028,2024-11-18,7715.39
PAGO000252,CRED0028,2024-12-19,7417.68
PAGO000253,CRED0028,2025-01-21,8326.03
PAGO000254,CRED0028,2025-02-20,7841.54
PAGO000255,CRED0028,2025-03-20,7715.53
PAGO000256,CRED0029,2025-11-21,6639.74
PAGO000257,CRED0030,2024-10-03,17630.26
PAGO000258,CRED0030,2024-11-09,14530.01
PAGO000259,CRED0030,2024-12-10,12585.98
PAGO000260,CRED0030,2025-01-11,12743.03
PAGO000261,CRED0030,2025-02-14,17280.25
PAGO000262,CRED0030,2025-03-14,16952.46
PAGO000263,CRED0030,2025-04-09,14230.21
PAGO000264,CRED0030,2025-05-17,16135.79
PAGO000265,CRED0030,2025-06-13,15192.69
PAGO000266,CRED0030,2025-07-18,12201.95
PAGO000267,CRED0030,2025-08-25,17110.72
PAGO000268,CRED0030,2025-09-22,14753.53
PAGO000269,CRED0030,2025-10-28,15978.55
PAGO000270,CRED0030,2025-12-06,16413.38
PAGO000271,CRED0030,2026-01-13,13609.45
PAGO000272,CRED0031,2025-03-06,16999.89
PAGO000273,CRED0031,2025-04-15,15069.85
PAGO000274,CRED0032,2023-02-01,13306.99
PAGO000275,CRED0032,2023-03-08,14637.64
PAGO000276,CRED0032,2023-04-04,11697.58
PAGO000277,CRED0032,2023-05-13,11517.59
PAGO000278,CRED0032,2023-06-21,13190.86
PAGO000279,CRED0032,2023-07-28,11992.56
PAGO000280,CRED0032,2023-09-06,14633.74
PAGO000281,CRED0032,2023-10-06,12768.42
PAGO000282,CRED0032,2023-11-11,11745.54
PAGO000283,CRED0033,2024-10-21,7315.96
PAGO000284,CRED0033,2024-11-23,7202.21
PAGO000285,CRED0033,2024-12-24,6616.81
PAGO000286,CRED0034,2023-07-25,21557.43
PAGO000287,CRED0034,2023-08-26,23307.54
PAGO000288,CRED0034,2023-10-05,21207.43
PAGO000289,CRED0034,2023-10-30,18131.18
PAGO000290,CRED0034,2023-12-01,20828.24
PAGO000291,CRED0034,2024-01-02,24906.43
PAGO000292,CRED0035,2023-10-15,3336.11
PAGO000293,CRED0035,2023-11-20,3408.25
PAGO000294,CRED0036,2024-07-26,6555.98
PAGO000295,CRED0036,2024-08-28,5594.89
PAGO000296,CRED0036,2024-09-29,5143.81
PAGO000297,CRED0036,2024-10-30,5616.53
PAGO000298,CRED0036,2024-11-29,5315.75
PAGO000299,CRED0036,2025-01-08,5521.82
PAGO000300,CRED0036,2025-02-11,7229.45
PAGO000301,CRED0036,2025-03-14,5569.72
PAGO000302,CRED0036,2025-04-19,5286.4
PAGO000303,CRED0036,2025-05-14,6568.5
PAGO000304,CRED0036,2025-06-12,8300.45
PAGO000305,CRED0038,2025-03-05,5723.21
PAGO000306,CRED0038,2025-04-14,4087.36
PAGO000307,CRED0038,2025-05-09,5003.89
PAGO000308,CRED0038,2025-06-18,4818.54
PAGO000309,CRED0038,2025-07-23,4246.33
PAGO000310,CRED0038,2025-08-18,4378.74
PAGO000311,CRED0038,2025-09-27,4109.71
PAGO000312,CRED0038,2025-10-24,4666.89
PAGO000313,CRED0038,2025-11-20,5009.64
PAGO000314,CRED0038,2025-12-16,4182.88
PAGO000315,CRED0038,2026-01-19,7231.87
PAGO000316,CRED0039,2024-05-05,1782.24
PAGO000317,CRED0039,2024-06-06,1789.5
PAGO000318,CRED0039,2024-07-13,1579.85
PAGO000319,CRED0039,2024-08-21,1481.11
PAGO000320,CRED0039,2024-09-28,1486.28
PAGO000321,CRED0039,2024-10-24,1682.44
PAGO000322,CRED0039,2024-11-21,1900.32
PAGO000323,CRED0039,2024-12-22,1692.68
PAGO000324,CRED0039,2025-01-24,1715.18
PAGO000325,CRED0039,2025-02-23,1444.05
PAGO000326,CRED0039,2025-03-22,1390.32
PAGO000327,CRED0039,2025-04-29,1579.85
PAGO000328,CRED0039,2025-06-08,1429.01
PAGO000329,CRED0040,2024-04-26,1036.4
PAGO000330,CRED0040,2024-06-04,792.98
PAGO000331,CRED0040,2024-07-06,1119.46
PAGO000332,CRED0040,2024-08-06,928.5
PAGO000333,CRED0040,2024-09-07,1013.68
PAGO000334,CRED0040,2024-10-10,1082.22
PAGO000335,CRED0040,2024-11-06,726.88
PAGO000336,CRED0041,2023-06-18,35033.46
PAGO000337,CRED0041,2023-07-22,32928.92
PAGO000338,CRED0041,2023-08-30,36297.53
PAGO000339,CRED0041,2023-10-06,39726.55
PAGO000340,CRED0041,2023-11-15,24765.31
PAGO000341,CRED0042,2024-06-01,13500.55
PAGO000342,CRED0042,2024-07-06,12165.6
PAGO000343,CRED0042,2024-07-31,9771.52
PAGO000344,CRED0042,2024-08-25,11286.36
PAGO000345,CRED0043,2025-09-25,3273.47
PAGO000346,CRED0043,2025-11-04,2991.64
PAGO000347,CRED0043,2025-12-13,3463.26
PAGO000348,CRED0043,2026-01-12,3559.31
PAGO000349,CRED0043,2026-02-19,1557.89
PAGO000350,CRED0044,2023-08-12,3918.14
PAGO000351,CRED0044,2023-09-16,4344.03
PAGO000352,CRED0044,2023-10-16,3790.35
PAGO000353,CRED0044,2023-11-25,4216.45
PAGO000354,CRED0045,2025-09-13,13527.21
PAGO000355,CRED0045,2025-10-22,11076.3
PAGO000356,CRED0045,2025-11-24,12324.01
PAGO000357,CRED0045,2025-12-31,15197.17
PAGO000358,CRED0045,2026-01-25,14097.79
PAGO000359,CRED0045,2026-03-05,12801.28
PAGO000360,CRED0045,2026-04-05,13359.28
PAGO000361,CRED0045,2026-05-15,13926.71
PAGO000362,CRED0045,2026-06-10,11688.97
PAGO000363,CRED0045,2026-07-09,15530.1
PAGO000364,CRED0045,2026-08-17,15281.7
PAGO000365,CRED0045,2026-09-26,11253.29
PAGO000366,CRED0045,2026-10-28,14374.28
PAGO000367,CRED0045,2026-12-01,13531.15
PAGO000368,CRED0045,2027-01-08,11103.61
PAGO000369,CRED0045,2027-02-05,13056.97
PAGO000370,CRED0045,2027-03-05,14045.01
PAGO000371,CRED0045,2027-04-03,12531.62
PAGO000372,CRED0046,2023-08-20,1504.57
PAGO000373,CRED0046,2023-09-29,1972.35
PAGO000374,CRED0046,2023-10-31,1625.92
PAGO000375,CRED0046,2023-11-29,1577.47
PAGO000376,CRED0046,2023-12-28,1895.43
PAGO000377,CRED0046,2024-01-30,1834.97
PAGO000378,CRED0046,2024-03-08,1170.9
PAGO000379,CRED0047,2024-06-23,1743.64
PAGO000380,CRED0047,2024-07-27,2470.6
PAGO000381,CRED0047,2024-09-05,2494.8
PAGO000382,CRED0047,2024-10-14,2210.35
PAGO000383,CRED0047,2024-11-19,2030.87
PAGO000384,CRED0047,2024-12-26,2137.88
PAGO000385,CRED0047,2025-01-30,2498.57
PAGO000386,CRED0047,2025-03-03,2239.28
PAGO000387,CRED0047,2025-04-04,2486.74
PAGO000388,CRED0047,2025-05-12,1779.41
PAGO000389,CRED0047,2025-06-21,1852.23
PAGO000390,CRED0048,2024-02-10,12970.45
PAGO000391,CRED0048,2024-03-10,11590.61
PAGO000392,CRED0048,2024-04-05,9876.25
PAGO000393,CRED0048,2024-05-10,12011.92
PAGO000394,CRED0049,2025-07-26,12115.53
PAGO000395,CRED0049,2025-08-20,11332.94
PAGO000396,CRED0049,2025-09-27,11951.06
PAGO000397,CRED0049,2025-10-26,8637.05
PAGO000398,CRED0049,2025-11-28,9734.92
PAGO000399,CRED0049,2026-01-04,11030.69
PAGO000400,CRED0049,2026-02-08,11873.67
PAGO000401,CRED0049,2026-03-17,12297.43
PAGO000402,CRED0049,2026-04-26,11957.1
PAGO000403,CRED0049,2026-05-22,10895.91
PAGO000404,CRED0049,2026-06-23,10952.95
PAGO000405,CRED0049,2026-07-27,12477.63
PAGO000406,CRED0049,2026-08-23,10132.09
PAGO000407,CRED0049,2026-09-20,11490.81
PAGO000408,CRED0049,2026-10-18,10172.5
PAGO000409,CRED0049,2026-11-21,12086.32
PAGO000410,CRED0049,2026-12-17,9675.86
PAGO000411,CRED0049,2027-01-12,9546.79
PAGO000412,CRED0049,2027-02-17,10118.42
PAGO000413,CRED0049,2027-03-21,0.0
PAGO000414,CRED0050,2023-03-02,2427.83
PAGO000415,CRED0050,2023-04-01,2315.25
PAGO000416,CRED0050,2023-05-08,2917.45
PAGO000417,CRED0050,2023-06-09,2781.53
PAGO000418,CRED0050,2023-07-08,3478.6
PAGO000419,CRED0051,2025-05-12,14811.8
PAGO000420,CRED0051,2025-06-06,17457.55
PAGO000421,CRED0051,2025-07-15,17471.4
PAGO000422,CRED0051,2025-08-14,10480.35
PAGO000423,CRED0052,2024-01-03,9634.44
PAGO000424,CRED0052,2024-02-06,8509.92
PAGO000425,CRED0052,2024-03-15,8675.59
PAGO000426,CRED0052,2024-04-23,9175.4
PAGO000427,CRED0052,2024-05-24,9672.24
PAGO000428,CRED0052,2024-07-03,6793.43
PAGO000429,CRED0052,2024-08-09,8293.81
PAGO000430,CRED0052,2024-09-12,9650.69
PAGO000431,CRED0052,2024-10-16,6520.25
PAGO000432,CRED0052,2024-11-22,3693.04
PAGO000433,CRED0053,2024-09-06,20886.93
PAGO000434,CRED0053,2024-10-02,22635.29
PAGO000435,CRED0053,2024-11-11,22030.43
PAGO000436,CRED0053,2024-12-15,21586.39
PAGO000437,CRED0053,2025-01-16,20274.63
PAGO000438,CRED0053,2025-02-21,9238.37
PAGO000439,CRED0054,2025-10-23,4966.99
PAGO000440,CRED0054,2025-11-21,4875.14
PAGO000441,CRED0054,2025-12-17,4282.84
PAGO000442,CRED0054,2026-01-25,3771.69
PAGO000443,CRED0054,2026-03-02,5068.25
PAGO000444,CRED0054,2026-03-29,4858.59
PAGO000445,CRED0055,2023-06-04,14737.1
PAGO000446,CRED0055,2023-07-03,18874.96
PAGO000447,CRED0055,2023-08-08,17143.2
PAGO000448,CRED0055,2023-09-10,19172.73
PAGO000449,CRED0055,2023-10-13,19738.85
PAGO000450,CRED0055,2023-11-22,20100.13
PAGO000451,CRED0055,2023-12-26,18604.33
PAGO000452,CRED0055,2024-01-30,7102.4
PAGO000453,CRED0056,2025-11-25,16461.95
PAGO000454,CRED0056,2025-12-27,21993.85
PAGO000455,CRED0056,2026-02-02,22817.65
PAGO000456,CRED0056,2026-03-10,16073.97
PAGO000457,CRED0056,2026-04-16,15486.59
PAGO000458,CRED0056,2026-05-14,18876.76
PAGO000459,CRED0056,2026-06-16,19874.7
PAGO000460,CRED0056,2026-07-22,16212.72
PAGO000461,CRED0056,2026-08-23,19005.11
PAGO000462,CRED0056,2026-09-27,25441.17
PAGO000463,CRED0057,2023-07-14,28494.76
PAGO000464,CRED0057,2023-08-17,30633.63
PAGO000465,CRED0057,2023-09-14,24742.62
PAGO000466,CRED0057,2023-10-10,26645.78
PAGO000467,CRED0057,2023-11-19,24469.08
PAGO000468,CRED0057,2023-12-21,33385.89
PAGO000469,CRED0057,2024-01-19,27620.34
PAGO000470,CRED0057,2024-02-24,35271.47
PAGO000471,CRED0058,2024-05-26,9493.81
PAGO000472,CRED0058,2024-07-03,11698.8
PAGO000473,CRED0058,2024-08-12,11525.76
PAGO000474,CRED0058,2024-09-14,8957.08
PAGO000475,CRED0058,2024-10-20,13405.27
PAGO000476,CRED0059,2023-04-22,7443.63
PAGO000477,CRED0059,2023-05-28,6988.39
PAGO000478,CRED0059,2023-07-03,8470.09
PAGO000479,CRED0059,2023-08-08,6859.22
PAGO000480,CRED0059,2023-09-10,7289.5
PAGO000481,CRED0059,2023-10-08,9816.75
PAGO000482,CRED0059,2023-11-16,6962.82
PAGO000483,CRED0059,2023-12-17,8793.78
PAGO000484,CRED0059,2024-01-11,6826.02
PAGO000485,CRED0059,2024-02-15,7468.45
PAGO000486,CRED0059,2024-03-15,9277.37
PAGO000487,CRED0059,2024-04-15,6886.05
PAGO000488,CRED0059,2024-05-16,8609.62
PAGO000489,CRED0059,2024-06-17,7751.37
PAGO000490,CRED0059,2024-07-16,9282.91
PAGO000491,CRED0059,2024-08-10,7580.66
PAGO000492,CRED0059,2024-09-08,9944.96
PAGO000493,CRED0059,2024-10-11,9315.77
PAGO000494,CRED0059,2024-11-08,8858.2
PAGO000495,CRED0059,2024-12-03,12015.83
PAGO000496,CRED0060,2026-01-05,15663.94
PAGO000497,CRED0060,2026-02-09,11323.59
PAGO000498,CRED0060,2026-03-14,15143.51
PAGO000499,CRED0061,2024-06-02,7723.04
PAGO000500,CRED0061,2024-06-29,7570.67
PAGO000501,CRED0061,2024-08-04,7683.76
PAGO000502,CRED0061,2024-09-01,7496.56
PAGO000503,CRED0061,2024-10-03,9005.07
PAGO000504,CRED0061,2024-10-29,8338.05
PAGO000505,CRED0061,2024-12-02,7515.01
PAGO000506,CRED0061,2024-12-27,6300.6
PAGO000507,CRED0061,2025-02-05,8705.09
PAGO000508,CRED0061,2025-03-15,6095.07
PAGO000509,CRED0062,2025-08-24,18782.39
PAGO000510,CRED0064,2024-04-11,25113.07
PAGO000511,CRED0065,2024-06-14,9388.18
PAGO000512,CRED0065,2024-07-19,8489.07
PAGO000513,CRED0065,2024-08-22,8748.67
PAGO000514,CRED0065,2024-09-29,7484.58
PAGO000515,CRED0065,2024-10-27,10458.0
PAGO000516,CRED0066,2024-10-11,14024.96
PAGO000517,CRED0066,2024-11-15,17794.28
PAGO000518,CRED0066,2024-12-22,15204.96
PAGO000519,CRED0066,2025-01-19,15910.5
PAGO000520,CRED0067,2023-02-16,8234.04
PAGO000521,CRED0067,2023-03-17,9811.29
PAGO000522,CRED0067,2023-04-26,7548.42
PAGO000523,CRED0067,2023-05-23,7643.71
PAGO000524,CRED0067,2023-06-20,10022.24
PAGO000525,CRED0067,2023-07-26,10267.56
PAGO000526,CRED0067,2023-08-21,9444.83
PAGO000527,CRED0067,2023-09-25,9749.92
PAGO000528,CRED0067,2023-11-02,9439.79
PAGO000529,CRED0068,2023-08-31,20878.88
PAGO000530,CRED0068,2023-10-04,19953.12
PAGO000531,CRED0068,2023-11-09,16141.06
PAGO000532,CRED0068,2023-12-10,16533.39
PAGO000533,CRED0068,2024-01-19,17066.78
PAGO000534,CRED0068,2024-02-16,18032.58
PAGO000535,CRED0068,2024-03-23,16227.65
PAGO000536,CRED0068,2024-04-25,19751.24
PAGO000537,CRED0068,2024-06-02,28059.27
PAGO000538,CRED0069,2023-12-15,5508.62
PAGO000539,CRED0069,2024-01-17,3950.13
PAGO000540,CRED0069,2024-02-19,5261.83
PAGO000541,CRED0069,2024-03-24,5687.89
PAGO000542,CRED0069,2024-04-29,3905.65
PAGO000543,CRED0069,2024-05-28,4996.32
PAGO000544,CRED0069,2024-07-04,4029.24
PAGO000545,CRED0069,2024-07-29,4072.4
PAGO000546,CRED0069,2024-08-29,4626.17
PAGO000547,CRED0069,2024-10-07,4557.45
PAGO000548,CRED0069,2024-11-12,4500.48
PAGO000549,CRED0069,2024-12-17,7310.25
PAGO000550,CRED0070,2024-03-22,25699.03
PAGO000551,CRED0070,2024-04-17,24948.27
PAGO000552,CRED0070,2024-05-20,19328.09
PAGO000553,CRED0071,2024-06-28,14277.07
PAGO000554,CRED0071,2024-07-31,12953.02
PAGO000555,CRED0071,2024-08-28,13710.73
PAGO000556,CRED0071,2024-09-25,13348.68
PAGO000557,CRED0071,2024-11-04,14773.37
PAGO000558,CRED0071,2024-12-08,11958.25
